site_id,request_date,cart_include_requests,cart_include_response_ms,cart_include_avg_response_ms
1102,2018-11-21,3146,16425,5.220915448188175
1102,2019-01-22,131,1284,9.801526717557252
1103,2018-10-16,113,1176,10.4070796460177
1103,2018-10-20,4,83,20.75
1103,2018-10-28,1797,467,0.2598775737340011
1103,2019-01-06,221,2703,12.23076923076923
1103,2019-01-11,200,98,0.49
1201,2018-12-28,223,89,0.3991031390134529
1201,2019-01-27,380,4095,10.776315789473685
1202,2019-01-13,184,27444,149.15217391304347
1202,2019-01-24,412,5529,13.419902912621358
